base,synonyms
abarth,"abarth,абарт,аба́рт,abart,abárt"
124 spider,"124 spider,spayder,спайдер,124spider,124-spider,124 спидер,124спидер,124-спидер"
500/595,"500/595" 

acura,"acura,акура,аку́ра,akura,akúra"
cdx,"cdx,цдкс,цдх,tsdh,цдикс,tsdiks"
ilx,"ilx,илкс,ilks,илх,иликс,ilh,iliks"
mdx,"mdx,мдкс,мдх,мдикс,mdiks,mdh,mdks"
nsx,"nsx,нскс,нскс,нсх,нсикс,nsiks,nsh,nsks"
rdx,"rdx,рдкс,рдх,рдикс,rdiks,rdh,rdks"
rsx,"rsx,рскс,рскс,рсх,рсикс,rsiks,rsh,rsks"
tl 2,"tl 2,tl2,tl-2,тл 2,тл2,тл-2"
tlx,"tlx,тлкс,tlks,тлх,тликс,tlh,tliks"
tsx,"tsx,тскс,тскс,тсх,тсикс,tsiks,tsh,tsks"
zdx,"zdx,здкс,здх,здикс,zdiks,zdh,zdks"

aito,"aito,айто,айто,ayto"
aiways,"aiways,айвейс,айвэйс,айвей,айвейс,айвэйс,ayveys,ayvejs,ayvey,ayways"
aixam,"aixam,аксам,айксам,aksam,aiksam"
crossline,"crossline,кросслайн,krosslayn,крослайн,kroslayn"
crossover,"crossover,кроссовер,krossover,кросовер,krosover"

alfa romeo,"alfa romeo,альфа ромео,альфа,альфоромео,alfa,alfa romeo"
cross wagon,"cross wagon,kross vagon,кросс вагон"
cross,"kross,кросс,cross wagon"
wagon,"vagon,вагон,cross wagon"
q,"ку,кью,kyu,ku"
q4,"ку4,кью4,kyu4,ku4"
8c,"8c,8ц,8ts,8с,8s"
gt,"gt,гт,dzhiti,джити"
spider,"spider,спидер,spayder,спайдер"
giulia,"giulia,гиулиа,dzhuliya,джулия"
4c coupe,"4s kupe,4с купе"
4c,"4s,4с"
coupe,"kupe,купе"
giulietta,"giulietta,гиулиетта,джульетта,джульета,dzhuleta,dzhuletta"


alpina,"alpina,альпина,альпи́на,alpina,alpína"
xd3,"xd3,ксд3,иксд3,хд3,hd3,iksd3"
xd4,"xd4,ксд4,иксд4,хд4,hd4,iksd4"

alpine,"alpine,альпин,альпи́н,alpin,alpín,alpine"
artega,"artega,артега,арте́га,artega,artéga"

aston martin,"aston martin,астон мартин,астон,астонмартин,aston,aston martin"
cygnet,"cygnet,цыгнет,сигнет,signet,tsygnet"
v8,"v8,в8"
virage,"вираж,virazh"

audi,"audi,ауди,а́уди,audi,áudi"
spyder,"паук,pauk,спайдер,spayder,спайдер"
c3,"ц3,с3,ts3"
c4,"ц4,с4,ts4"
cabriolet,"кабриолет,kabriolet"
audi tt,"тт,tt"
TT,"тт,tt"
sportback,"спортбэк,sportbek"
s3,"с3,s3"
q7,"ку7,кью7,ku7,kyu7"
q2,"ку2,кью2,ku2,kyu2"
q3,"ку3,кью3,ku3,kyu3"
q4,"ку4,кью4,ku4,kyu4"
q5,"ку5,кью5,ku5,kyu5"
q6,"ку6,кью6,ku6,kyu6"
q8,"ку8,кью8,ku8,kyu8"
rsq3,"rskyu3,рску3,rsku3,рскуью3"
rsq8,"rskyu8,рску8,rsku8,рскуью8"
s6,"с6"
s,"с"
SQ2,"ску2,sku2,skyu2,скью2"
SQ5,"ску5,sku5,skyu5,скью5"
SQ7,"ску7,sku7,skyu7,скью7"
SQ8,"ску8,sku8,skyu8,скью8"

aurus,"aurus,аурус,а́урус,aurus,áurus"
avatr,"avatr,аватр,ава́тр,avatr,avátr"
baic,"baic,баик,байк,baik,bayk"
baojun,"baojun,баоджун,баоцзюнь,baodzhun,baoczjun"
belgee,"belgee,белджи,белги,beldzhi,belgi"
bentley,"bentley,бентли,бентлей,bentli,bentley,bentlej"
berkhof,"berkhof,беркхоф,берхоф,berkhof,berhov"

BMW,"бмв,bmw,бэха,бумер,BMV,beha,bumer"
BMW X5,"bmv h5,бмв х5"
x5,"h5,х5,iks5,х5"
x3,"iks3,x3,h3,х3"
x2,"iks2,x2,h2,х2"
x1,"iks1,x1,h1,х1"
x4,"iks4,x4,h4,х4"
x6,"iks6,x6,h6,х6"
x7,"iks7,x7,h7,х7"
x8,"iks8,x8,h8,х8"
x9,"iks9,x9,h9,х9"


brilliance,"brilliance,бриллианс,брилианс,brillians,brilians"
bugatti,"bugatti,бугатти,буга́тти,bugatti,bugátti,бугати,bugati"
buick,"buick,буик,бьюик,buik,byuik"
byd,"byd,бивайди,би-уай-ди,bivaidi,bi-uay-di,bivaydi"
cadillac,"cadillac,кадиллак,кадилак,kadillak,kadylak,kadilak"
casalini,"casalini,казалини,касалини,kazalini,kasalini"
changan,"changan,чанган,чангэн,changan,changаn"
chery,"chery,чери,чэри,cheri,chery"
exeed,"exeed,ексеед"

chevrolet,"chevrolet,шевроле,шевролет,шеви,шева,shevrole,shevrolet,shevi,sheva"
Epica,"епика,epika,эпика"
Camaro,"камаро,kamaro"
captiva,"kaptiva,каптива"
Carprice,"карприз,karpriz"
Cavalier,"кавалер,Kavaler"
Cobalt,"кобальт,kobalt"
Corvette,"корвет,korvet,корветт,korvett"
Cruze,"круз,крузак,kruz,kruzak"
Hatchback,"хэтчбэк,Khetchbek,hetchbek"
equinox,"equinox,эквинокс,ekvinoks"
Lacetti,"lachetti,лачетти,лачети,lacheti,chevrolet Lacetti HB,леночка,lenochka"
Vectra,"вектра,vektra"
Onix,"оникс,oniks"
Pick Up,"пикап,pikap,пик ап,pik ap" 
Pick,"пик,pik"
up,"ап,ap"
Tracker,"тракер,traker"
Trailblazer,"траилблейзер,trailbleyzer,треилблейзер,treilbleyzer"
Uplander,"аплендер,aplender,уплендер,uplender"
Hatchback,"хетчбэк,hetchbek"
Colorado,"колорадо,kolorado"
Concorde,"конкорд,konkord"
Crossfire,"кросфаир,krosfair"
Voyager,"вояджер,voyadzher,вояжер,voyazher"


chrysler,"chrysler,крайслер,хризлер,krajsler,hrizler,kraysler"
Hatchback,"хетчбэк,hetchbek"
Colorado,"колорадо,kolorado"
Concorde,"конкорд,konkord"
Crossfire,"кросфаир,krosfair"
Voyager,"вояджер,voyadzher,вояжер,voyazher"
Cruiser,"круизер,kruizer"
Pacifica,"пацифика,patsifika"
Cabrio,"кабрио,kabrio"
300C,"300с,300s"
Cirrus,"циррус,цирус,tsirus"
Touring,"туринг,turing"
Jumpy,"джампи,dzhampi"

citroen,"citroen,ситроен,ситроэн,sitroen,sitroen"
Jumper,"джампер,dzhamper,жампер,zhamper,жумпер,zhumper"
Saxo,"саксо,sakso,сахо,saho"
XM,"хм,hm,иксм,iksm"
Xantia,"ксантия,ksantiya"
Break,"бреак,break,брек,brek"
Xsara,"ксара,ksara,иксара,iksara"
Picasso,"пикассо,pikasso,пикасо,pikaso"
ZX,"зх,zh,зикс,ziks"
c1,"ц1,ts1"
c2,"ц2,ts2"
c3,"ц3,ts3"
c4,"ц4,ts4"
c5,"ц5,ts5"
c6,"ц6,ts6"
c7,"ц7,ts7"
c8,"ц8,ts8"
c9,"ц9,ts9"
Aircross,"аиркросс,airkross,аиркрос,airkros"
Duster,"дастер,daster"




cupra,"cupra,купра,ку́пра,kupra,kúpra"
Ibiza,"ибица,ibitsa"

Ateca,"атеса,atesa,атека,ateka"

dacia,"dacia,дачия,дация,dachiya,daciya,datsiya"
dadi,"dadi,дади,dadi"
daewoo,"daewoo,дэу,деу,deu,devu"
Nexia,"нексиа,neksia"
mi-DO,"мидо,mido,ми до,mi do"
on-Do,"ондо,ondo,он до,on do"

daf,"daf,даф,daf"
daihatsu,"daihatsu,дайхатсу,дайхацу,daikhatsu,daikhatsu,dayhatsu"
daimler,"daimler,даймлер,деймлер,daimler,deymler,daymler"
dallara,"dallara,даллара,dallara,dalara,dallara,далара"
datsun,"datsun,датсун,дацун,datsun,dacyn"
dayun,"dayun,даюн,дайун,dayun,daiyun"
delorean,"delorean,делориан,делореан,delorian,delorean"
dodge,"dodge,додж,доджик,dodzh,dodzhik"
dongfeng,"dongfeng,донгфенг,дунфэн,dongfeng,dunfen"
ds,"ds,дээс,диэс,daes,dies"
e.go,"e.go,иго,его,igo,ego"
elaris,"elaris,эларис,elaris"
emc,"emc,емс,иэмси,emc,iэмsi,ems"
evo,"evo,эво,evo"
evolute,"evolute,эволют,эволюте,evolut,evolyute,evolyut"
exeed,"exeed,эксид,ексид,eksid,eksid"
faw,"faw,фав,фау,fav,fau"
ferrari,"ferrari,феррари,ферари,ferrari,ferari"
fiat,"fiat,фиат,fiat"
qubo,"кубо,kubo"
fisker,"fisker,фискер,fisker"
ford,"ford,форд,форде,ford,forde"
forthing,"forthing,фортинг,forthing,forting"
foton,"foton,фотон,foton"
gac,"gac,гак,gak"
gac aion,"gac aion,гак аион,гак айон,gak aion,gak ayon,gak ayon"
aion,"айон,ayon"

gaz,"gaz,газ,газик,gaz,gazik"
geely,"geely,джили,геели,dzhili,geeli,geli,гели"
genesis,"genesis,генезис,дженезис,genezis,dzhenezis"
gmc,"gmc,джиэмси,гмс,dzhiemsi,gms"

great wall,"грит вол,грейт вол,грейтвол,гритвал,great wall,грет вол,gret vol"
great,"gret,грет"
wall,"vol,вол"

haval,"haval,хавал,хавел,haval,havel"
hiphi,"hiphi,хайфай,хифи,haifai,hifi,hayfay"
honda,"honda,хонда,хонда"
hongqi,"hongqi,хонгчи,хунци,hongchi,hunci"
hummer,"hummer,хаммер,хъмър,хамер,hammer,hawmer"
hyundai,"hyundai,хендай,хундай,хёндэ,henday,hunday,hyondae,hyondai,hende"
ickx,"ickx,икс,иккс,iks,ikks"
im motors,"im motors,ай эм моторс,им моторс,ai em motors,im motors"
infiniti,"infiniti,инфинити,инфинити,infiniti"
iran khodro,"iran khodro,иран кходро,иран ходро,iran khodro,iran hodro"
isuzu,"isuzu,исузу,isuzu"
iveco,"iveco,ивеко,iveko"
jac,"jac,джак,жак,dzhak,zhak"
jaecoo,"jaecoo,джако,жако,dzhako,zhako"
jaguar,"jaguar,ягуар,джаг,yaguar,dzhag"
jetour,"jetour,джетур,жетур,dzhetur,zhetur"
jetta,"jetta,джетта,джета,dzhetta,dzheta"
kaiyi,"kaiyi,каии,кайи,kaii,kayi"
kamaz,"kamaz,камаз,kamaz"
kg mobility,"kg mobility,кг мобилити,кейджи мобилити,kg mobiliti,keidji mobiliti"
kia,"kia,киа,kia"
carnival,"карнивал,karnival"
Sportage,"спортэйдж,sporteydzh,спортаж,sportazh"


lada,"lada,лада,ваз,lada,vaz"
lamborghini,"lamborghini,ламборджини,ламборгини,lambordzhini,lamborgini"
lancia,"lancia,ланча,lanchia,lantsiya,ланция,lancha"

Land Rover,"ленд ровер,лэнд ровер,лендровер,лэндровер,land rover,landrover,lend rover,lendrover"
land,"ленд,лэнд,lend,land"
rover,"ровер,rover"
Evoque,"эвок,evok"
Range,"рэйндж,reyndzh"


ldv,"ldv,лдв,элдиви,ldv,eldivi"
lexus,"lexus,лексус,лексу́с,leksus,leksús"
lifan,"lifan,лифан,lifan"
lincoln,"lincoln,линкольн,lincoln,linkoln"
lixiang,"lixiang,ликсианг,лисян,liksiang,lisyan"
lotus,"lotus,лотос,ло́тус,lotos,lótus"
lucid,"lucid,люсид,лусид,lyusid,lusid"
lynk & co,"lynk & co,линк энд ко,линк ко,link end ko,link ko,link end ko"
man,"man,ман,man"
maserati,"maserati,мазерати,мазе́рати,mazerati,mazérati"
maybach,"maybach,майбах,maybah,maybah"
mazda,"mazda,мазда,mazda"
mclaren,"mclaren,макларен,maklaren"
mercedes-benz,"mercedes-benz,мерседес,мерс,мериндос,merindos,мерин,mercedes-benz,mers,merin,мерседес,mersedes"
mg,"mg,эмджи,мг,emdzhi,mg"
mini,"mini,мини,миник,mini,minik"
mitsubishi,"mitsubishi,митсубиси,мицубиси,mitsubisi,micubisi,митсубиши,mittsubisi,mittsubishi,митцубиси,митцубиши,митцуба,mittsuba"
neoplan,"neoplan,неоплан,neoplan"
nio,"nio,нио,nio"
nissan,"nissan,ниссан,нисан,nissan,nisan"
qashqai,"кашкай,kashkay,кошак,koshak"
x-trail,"x-trail,x trail,xtrail,х трейл,х трэил,икс-трейл,икстрейл,икстрэйл,h trail,h treil"

omoda,"omoda,омода,omoda"
opel,"opel,опель,opel"
ora,"ora,ора,ora"
peugeot,"peugeot,пежо,пыжик,pezho,pezhik,pyzhik,пыж,pyzh"
polar stone,"polar stone,полар стоун,polar stoun"
stone,"стоун,stoun"
polestar,"polestar,полестар,полстар,polestar,polstar"
pontiac,"pontiac,понтиак,pontiak"
porsche,"porsche,порше,порш,porshe,porsh"
qoros,"qoros,корос,koros"
ravon,"ravon,равон,ravon"
renault,"renault,reno,рено,реношка,ренёшка,reneshka,renoshka"
rivian,"rivian,ривиан,rivian"

rolls-royce,"rolls-royce,ролс ройс,роллс ройс,ролс-ройс,rolls-roys,rols-roys,rolls roys,ролс"
rolls,"ролс,rols"
royce,"roys,ройс"

rover,"rover,ровер,ро́вер,rover,róver"
saab,"saab,сааб,saab"
saipa,"saipa,саипа,сайпа,saipa,saipa,saypa"
samsung,"samsung,самсунг,samsung"
scania,"scania,скания,сканиа,skaniya,skania"
seat,"seat,сеат,сит,seat,sit"

seres,"seres,серес,seres"

Skoda,"шкода,shkoda,skoda"
Kushaq,"кушак,kushak"
Karoq,"карок,karok"
Kodiaq,"кодиак,kodiak"

skywell,"skywell,скайвелл,скайвел,skayvell,skayvel"
smart,"smart,смарт,smart"
solaris,"solaris,соларис,solaris"
sollers,"sollers,соллерс,sollers"
soueast,"soueast,соуист,souist"
ssangyong,"ssangyong,ссангйонг,сангён,ssangjon,saengyon"
subaru,"subaru,субару,subaru"
suzuki,"suzuki,сузуки,suzuki"
swm,"swm,свм,эсдаблъюэм,svm,esdablyuem"
tagaz,"tagaz,тагаз,tagaz"
tank,"tank,танк,tank"
tesla,"tesla,тесла,теслик,tesla,teslik"
toyota,"toyota,тойота,тоёта,тойта,тойтота,toyta,toytota"
Aqua,"аква,akva"
Esquire,"есквайр,eskvayr"
Sequoia,"секвойя,sekvoyya"


uaz,"uaz,уаз,уазик,uaz,uazik"
volkswagen,"volkswagen,фольксваген,vw,folksvagen,фолик,folik"
volvo,"volvo,вольво,volvo"
vortex,"vortex,вортекс,vortex,vorteks"
voyah,"voyah,воях,voyah"
weltmeister,"weltmeister,вельтмайстер,weltmajster,veltmayster"
wey,"wey,вей,wey"

XCITE,"xcite,иксайт,иксит,ksits,ksits,xsites,iksits,xcities,iksayt,iksit"

xiaomi,"xiaomi,сяоми,syaomi,ksyaomi,ксяоми"
xpeng,"xpeng,ксипенг,ksipeng"
zaz,"zaz,заз,запорожец,zaz,zaporozhec"
zeekr,"zeekr,зикр,zikr"
zotye,"zotye,зоти,zoti"
zx auto,"zx auto,зет икс ауто,зед икс ауто,zet iks auto,zed iks auto"
moskvich,"москвич,moskvich,москвичара,moskvichara,москвичёнок,moskvichyonok"
octavia,"octavia,октавия,oktaviya"
Tavascan,"таваскан,tavaskan"
Docker,"докер,doker" 
Express,"експресс,ekspress,експрес,ekspres"
charade,"чараде,"
caliber,"калибр,kalibr"
caravan,"караван,karavan"
challenger,"челенджер,chelendzher"
charger,"чарджер,chardzher"
crossback,"кроссбэк,krossbek,кросбэк,krosbek"
cargo,"карго,kargo"
Ducato,"дукато,dukato" 
Russia,"россия,rossiya"
Fullback,"fullbek,фуллбек"
Scudo,"скудо,skudo"
Ecosport,"экоспорт,ekosport"
Edge,"едж,edzh"
Escape,"ескейп,eskeyp"
Excursion,"екскурсион,ekskursion"
Focus,"фокус,fokus"
Maverick,"маверик,maverik"
Tourneo,"турне,turne,турнео,turneo"
Transit,"транзит,tranzit"
connect,"коннект,konnekt"
Vision,"вижн,vizhn,визион,vizion,висион,vizion"
Preface,"префейс,prefeys"
Acadia,"акадия,akadiya"
chitu,"читу,chitu"
Accord,"аккорд,akkord,акорд,akord"
civic,"сивик,sivik"
crosstour,"кросстур,krosstur"
Accent,"ацент,atsent"
creta,"крета,kreta"
cruz,"круз,kruz"
Tucson,"tukson,туксон,туссон,tusson"
cherokee,"черокки,cherokki,чероки,cheroki"
commander,"коммандер,kommander,командер,komander"
compass,"компасс,kompass"
carens,"каренс,karens"
carnival,"карнивал,karnival"
ceed,"сид,sid,сиид,siid"
cerato,"серато,serato,церато,tserato,цирато,tsirato"
clarus,"кларус,klarus"
Joice,"джойс,dzhoys"
Picanto,"пиканто,pikanto"
Spectra,"спектра,spektra"
cLK,"слк,цлк,slk,tslk"
cLA,"цла,tsla"
cLs,"цлс,tsls"
Benz,",бенц,bents"
cooper,"купер,kuper"
carisma,"каризма,харизма,karizma,harizma"
colt,"кольт,kolt"
Eclipse,"эклипс,eklips"
Lancer,"ланцер,лансер,lantser,lanser"
Outlander,"аутлендер,autlender,оутлендер,outlender"
Pajero,"паджеро,padzhero,пажеро,pazhero"
Space,"спейс,speys"
cabstar,"кабстар,kabstar"
cube,"куб,кьюб,kub,kyub"
Micra,"микра,mikra"
combo,"комбо,kombo"
corsa,"корса,korsa"
Macan,"макан,makan"
captur,"каптюр,kaptyur"
clio,"клио,klio"
Fluence,"флюенц,flyuents"
Scenic,"сценик,stsenik,ценик,tsenik"
Trafic,"трафик,trafik"
Felicia,"фелиция,felitsiya"
crosstrek,"кросстрек,krosstrek"
Outback,"аутбэк,autbek"
Across,"акросс,akross,акрос,akros"
celica,"селика,selika"
corolla,"королла,korolla,корола,korola"
Echo,"ехо,eho"
Hilux,"хайлюкс,haylyuks,хилюкс,hilyuks" 
cruiser,"крузер,крузак,kruzer,kruzak"
Picnic,"пикник,piknik"
Tacoma,"такома,takoma"
california,"калифорния,kaliforniya"
cc,"tsts,цц"
Galaxy,"гелекси,geleksi,галакси,galaksi"
solaris,"солярис,solyaris"
XRAy,"иксрей,iksrey"
Discovery,"дискавери,diskaveri"
Skyline,"скайлайн,skaylayn"
cayman,"кайман,kayman"
Taycan,"тайкан,taykan"
cayenne,"кайен,kayen"
Symbol,"симбол,simbol"
Legacy,"легаси,legasi"
Jimny,"Джимни,dzhimni"
camry,"камри,kamri"
yaris,"ярис,yaris"
winstorm,"винсторм,vinstorm"
wingle,"вингл,vingl"
wrangler,"вранглер,vrangler"
classic,"классик,klassik"
Twingo,"твинго,tvingo"


